||||81.180.68.7||3730||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227775632
||||81.180.68.7||4259||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227776634
||||81.180.68.7||4342||http://beta.cubus.md/||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777229
81||moderator||81.180.68.7||4349||http://beta.cubus.md/||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777238
81||moderator||81.180.68.7||4356||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||moderator.tools||1227777239
81||moderator||81.180.68.7||4351||http://beta.cubus.md/?L=moderator.tools||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777245
||||81.180.68.7||4349||http://beta.cubus.md/?L=moderator.tools||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777246
||||81.180.68.7||4385||http://beta.cubus.md/?L=moderator.tools||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777514
81||moderator||81.180.68.7||4428||http://beta.cubus.md/?L||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||||1227777621
81||moderator||81.180.68.7||4428||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||moderator.tools||1227777622
81||moderator||81.180.68.7||4471||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||moderator.tools||1227777748
81||moderator||81.180.68.7||4517||||Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.4) Gecko/2008102920 Firefox/3.0.4||moderator.tools||1227778149
